M,T,W,TR,F
21.87,21.87,22,22.19,22.31
21.87,21.81,22,22.19,22.31
21.87,21.87,22,22.19,22.31
21.87,21.87,22,22.19,22.31
21.87,21.87,22,22.12,22.31
21.87,21.87,22,22.19,22.31
21.87,21.87,22,22.19,22.31
21.87,21.87,22,22.19,22.31
21.87,21.87,22,22.19,22.31
21.87,21.87,22,22.19,22.25
21.87,21.94,22.06,22.19,22.31
21.87,21.94,22,22.19,22.31
21.87,21.87,22,22.19,22.31
21.94,21.87,22,22.12,22.31
21.87,21.87,22,22.19,22.31
21.94,21.87,22.06,22.19,22.31
21.87,21.87,22,22.19,22.25
21.94,21.87,22.06,22.19,22.31
21.87,21.87,22,22.19,22.31
21.94,21.87,22.06,22.19,22.25
21.94,21.87,22,22.19,22.25
21.94,21.87,22,22.19,22.25
21.94,21.87,22.06,22.19,22.31
21.94,21.94,22.06,22.19,22.31
21.94,21.94,22.06,22.19,22.31
21.94,21.87,22,22.19,22.31
22,21.87,22,22.19,22.31
22,21.87,22,22.19,22.31
22,21.87,22.06,22.12,22.31
22,21.87,22,22.12,22.31
22,21.87,22,22.12,22.25
22,21.87,22,22.19,22.31
